type,name
image,#uie_t7_hud_mp_notifications_xp_blue
image,#uie_t7_hud_mp_notifications_xp
image,#hash_dff19ea3efd0f077
sound_bank,#hash_353acfbfefb42e65
keyvaluepairs,#fr_core_ui
ttf,#hash_c5a06301b5c5835
ttf,#hash_2511d1f7ddbd67f5
ttf,#hash_4336a6b70611df64
ttf,#hash_55bf24df6e2de7a5
ttf,#hash_62c7f71a3a0cd030
ttf,#hash_6597013bd55835bd
ttf,#notosans_regular
ttf,#hash_6eaf8db71ebdb74f
ttf,#hash_737063f2faa400b2
ttf,#hash_792dc7b72533c26d
ttf,#hash_7cf9ba7d433e4b16
ttf,#notosans_bold
ttf,#hash_df6a0e624346a9d9
